responid,age,gender,edu,income,marital,consumption_rate,patronage_arbys,patronage_burgerking,patronage_mcd,patronage_subway,patronage_wendys,rating_arbys,rating_burgerking,rating_mcd,rating_subway,rating_wendys
3,2,2,3,1,2,1,3,3,3,2,3,,,,7,
4,2,1,3,1,1,4,2,1,2,1,2,7,1,3,5,1
5,2,2,3,1,2,10,1,1,3,1,1,5,5,,6,5
6,2,2,4,8,1,15,4,1,1,1,3,,6,7,4,
7,2,2,2,2,1,3,2,2,2,1,1,8,7,7,9,8
8,2,2,3,1,1,20,1,1,1,1,1,8,7,7,9,8
10,2,2,3,8,1,28,3,1,2,1,1,,8,2,9,8
11,2,2,3,2,1,25,1,1,1,1,1,3,8,4,7,5
12,2,2,3,6,1,2,3,3,3,3,3,,,,,
13,2,2,3,3,1,5,3,3,1,1,3,,,6,8,
14,2,1,3,1,1,7,4,3,3,1,1,,,,6,7
15,2,2,3,2,2,35,,,1,1,,,,6,9,
18,2,1,3,8,1,5,,,,,,,,,,
20,2,2,2,5,1,3,4,2,1,3,2,,9,10,,5
21,2,2,1,2,1,2,4,2,1,2,3,,8,10,9,
22,2,2,4,3,1,1,3,2,2,1,3,,7,7,9,
23,2,1,3,8,1,10,,,1,1,1,,,3,7,6
24,2,2,3,2,2,10,3,2,1,2,2,,9,7,8,8
25,2,2,3,1,1,30,2,1,1,2,1,10,2,9,9,10
26,2,2,3,1,1,10,4,1,3,2,3,,10,,7,
28,2,2,3,1,2,5,2,1,1,1,2,10,5,5,6,8
29,2,2,2,2,2,2,2,1,1,3,3,6,8,7,,
30,2,2,4,2,2,12,1,3,2,1,2,10,,4,10,10
31,2,2,3,8,1,4,,,,,,,,,,
32,2,2,2,2,1,6,,,1,,,,,8,,
33,2,2,3,1,1,4,,1,,,,,8,,,
34,2,2,3,3,1,4,,,1,1,,,,6,6,
35,2,2,3,1,3,4,3,3,2,3,3,,,5,,
37,2,2,1,2,1,6,3,3,1,1,1,,,6,8,7
38,2,2,4,3,1,10,2,2,1,2,2,8,7,9,7,9
39,2,2,3,2,1,6,1,1,1,1,2,8,7,9,9,8
41,2,2,4,4,2,17,1,1,3,1,1,7,6,,4,5
42,2,2,3,4,2,8,3,2,1,3,1,,8,5,,8
